Lead ID,Full Name,Email,Phone,Company,Location,Created Date
1,John Doe,john.doe@example.com,9876543210,GrowEasy,Mumbai,2026-05-13
2,Sarah Johnson,sarah.johnson@example.com,9876543211,Tech Solutions,Bangalore,2026-05-13
3,Rajesh Patel,rajesh.patel@example.com,9876543212,Startup Inc,Delhi,2026-05-13
4,Priya Singh,priya.singh@example.com,9876543213,Enterprise Corp,Pune,2026-05-13
5,Amit Kumar,amit.kumar@example.com,9876543214,Digital Agency,Chennai,2026-05-13
6,Neha Sharma,neha.sharma@example.com,9876543215,Marketing Hub,Hyderabad,2026-05-13
7,Vikram Singh,vikram.singh@example.com,9876543216,Sales Force,Pune,2026-05-13
8,Anaya Gupta,anaya.gupta@example.com,9876543217,Brand Studio,Delhi,2026-05-13
9,Ravi Reddy,ravi.reddy@example.com,9876543218,Creative Labs,Bangalore,2026-05-13
10,Zara Khan,zara.khan@example.com,9876543219,Media Group,Mumbai,2026-05-13
